"Parasite.species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","Host.no","Host_no_fac","Stage","assumed_stage","Def.int","Facultative","num_hosts","host_phylum","host_class","host_bm","host_tl","endo_ecto","prop_endo","vert_invert","habitat","prop_terr","Site","body_cavity","gi_tract","gi_wall","pulmonary","biliary","urinary","enclosed","lcl_max","lcl_max_fac","initial_biov","initial_length","initial_width","biovolume","avg_length","avg_width","avg_dt","avg_dd","rel_growth","biov_paratenic","avg_dt_paratenic","avg_dd_paratenic","rel_growth_paratenic","tree_tips"
"Contracaecum microcephalum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",2,"2","2larv","no","int","no",4,"Arthropoda","Insecta",-2.07663943995269,3,"ecto",0,"invert","aquatic",0,NA,NA,NA,NA,NA,NA,NA,NA,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contracaecum_microcephalum"
"Contracaecum microcephalum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",3,"3","adult","no","def","no",2,"Chordata","Aves",3.74075732330777,4.01,"endo",1,"vert","aquatic",0,"stomach","no","yes","no","no","no","no","no",3,"3",NA,NA,NA,23.2895452569123,38.0333333333333,1.015,37.5,1331.25,NA,23.2895452569123,37.5,1331.25,NA,"Contracaecum_microcephalum"
"Contracaecum micropapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",1,"1","1larv","no","int","no",11,"Arthropoda","Hexanauplia",-3.52666325751032,NA,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",3,"3",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,"Contracaecum_micropapillatum"
"Contracaecum micropapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",2,"2","2larv","no","int","no",9,"Chordata","Actinopterygii",1.70925972146287,3.03531250596046,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",3,"3",NA,NA,NA,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,"Contracaecum_micropapillatum"
"Contracaecum micropapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",3,"3","adult","no","def","no",3,"Chordata","Aves",3.56645506623866,3.91833333333333,"endo",1,"vert","aquatic",0,"stomach","no","yes","no","no","no","no","no",3,"3",NA,1.55,NA,28.2743338823081,31.25,1.2,NA,NA,NA,28.2743338823081,NA,NA,NA,"Contracaecum_micropapillatum"
"Contracaecum multipapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",1,"1","1larv","no","int","no",1,"Arthropoda","Hexanauplia",NA,NA,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",4,"3+",4.80490888403291e-05,0.362,0.013,0.000152367243699105,0.485,0.02,NA,NA,0.501206454783387,0.000152367243699105,NA,NA,0.501206454783387,"Contracaecum_multipapillatum"
"Contracaecum multipapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",2,"2","2larv","no","int","no",5,"Chordata","Actinopterygii",1.45910116845986,2.85801823657907,"ecto",0,"invert","aquatic",0,"liver; mesentery","no","no","no","no","yes","no","yes",4,"3+",0.000152367243699105,0.485,0.02,12.539203377728,21.8866666666667,0.765666666666667,30,660,4.91537833511485,12.539203377728,30,660,4.91537833511485,"Contracaecum_multipapillatum"
"Contracaecum multipapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",3,"3","3larv","no","int","paratenic",1,"Chordata","Actinopterygii",2.80953339734449,3.61333333333333,"ecto",0,"invert","aquatic",0,"liver; mesentery","no","no","no","no","yes","no","yes",4,"3+",12.539203377728,21.8866666666667,0.765666666666667,NA,NA,NA,NA,NA,NA,12.539203377728,1,20,0,"Contracaecum_multipapillatum"
"Contracaecum multipapillatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",4,"4","adult","no","def","no",12,"Chordata","Aves",3.16986198439692,3.83516835016835,"endo",1,"vert","aquatic",0,"stomach","no","yes","no","no","no","no","no",4,"3+",NA,NA,NA,15.3496861064468,28.024,0.794,NA,NA,NA,15.3496861064468,NA,NA,NA,"Contracaecum_multipapillatum"
"Contracaecum ogmorhini s.s.","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",1,"1","1larv","yes","int","paratenic",NA,NA,NA,NA,NA,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",4,"3+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0,"Contracaecum_ogmorhini_s.s."
